City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,Krasnoural'Sk,58.3638,60.0407,274.66,96,100,6.77,RU,1697143053
202,Anderstorp,58.8833,14.2833,281.28,72,7,4.36,SE,1697143053
203,Borogontsy,62.6683,131.1683,275.53,71,100,4.92,RU,1697143053
204,Utrik,11.2278,169.8474,301.0,78,31,4.79,MH,1697143053
205,Tutoia,-2.7619,-42.2744,299.92,83,3,4.75,BR,1697143053
206,Polyarnyy,69.1989,33.4478,276.52,86,100,10.41,RU,1697142958
207,Phek,25.6667,94.5,284.75,99,27,0.32,IN,1697143054
208,Butte,39.6499,-121.5677,298.7,28,0,4.63,US,1697143054
209,Lospalos,-8.5186,127.0025,294.03,94,37,1.49,TL,1697143054
210,Tansen,27.8673,83.5467,288.15,91,0,1.76,NP,1697143054
211,Atambua,-9.1061,124.8925,294.57,83,2,1.77,ID,1697143054
212,Chonchi,-42.6128,-73.8092,285.71,66,77,1.1,CL,1697142963
213,Kone,-21.0595,164.8658,294.93,72,38,2.0,NC,1697143054
214,Badger,64.8,-147.5333,271.88,82,100,1.54,US,1697142973
215,Argo,37.6333,22.7333,289.14,56,0,1.39,GR,1697143054
216,Lebu,-37.6167,-73.65,284.17,73,0,10.01,CL,1697142974
217,Ust-Nera,64.5667,143.2,257.71,99,88,2.24,RU,1697143054
218,Remire-Montjoly,4.9167,-52.2667,304.17,66,0,5.66,GF,1697143055
219,Tianpeng,30.9866,103.9393,289.41,88,100,1.07,CN,1697143055
220,Toliara,-23.35,43.6667,297.24,77,1,2.31,MG,1697142933
221,Khanbari,27.3747,87.2039,290.21,83,0,1.6,NP,1697143055
222,Kijang,35.2442,129.2139,286.0,69,100,3.51,KR,1697143055
223,Arteche,12.2645,125.4048,298.23,91,37,1.4,PH,1697143055
224,Hadibu,12.65,54.0333,300.29,81,48,2.11,YE,1697142976
225,Eastham,41.8301,-69.9739,292.59,71,17,3.35,US,1697142867
226,Siem Reap,13.5,104.0,299.01,95,97,1.2,KH,1697143055
227,Holmsund,63.706,20.3641,275.34,86,40,1.34,SE,1697143055
228,Mayna,54.1135,47.6231,281.42,51,100,10.86,RU,1697143055
229,Levuka,50.1834,-105.4011,283.05,53,40,7.2,CA,1697143056
230,Paka,4.6374,103.4368,298.14,94,67,0.0,MY,1697143056
231,Krasnopavlivka,49.1372,36.3272,282.5,51,100,7.48,UA,1697143056
232,Yuzhno-Kurilsk,44.0306,145.8556,286.14,70,0,2.46,RU,1697143056
233,Boende,-0.2167,20.8667,296.46,84,21,0.46,CD,1697143056
234,Rumonge,-3.9736,29.4386,297.81,71,94,2.96,BI,1697143056
235,Gao,16.6362,1.637,305.14,12,0,4.3,ML,1697143056
236,San Patricio,28.017,-97.5169,304.12,64,69,6.02,US,1697143056
237,Thompson,55.7435,-97.8558,285.24,62,20,1.54,CA,1697143056
238,Sisimiut,66.9395,-53.6735,273.11,61,100,2.18,GL,1697143056
